jurisdiction	document	url
RI	Form RI-1120C instructions with credit worksheets (2025)	https://tax.ri.gov/sites/g/files/xkgbur541/files/2026-01/2025%201120C%20Instructions%20with%20Credit%20Worksheets.pdf
WV	Form CIT-120 Corporation Net Income Tax instructions (2025)	https://tax.wv.gov/Documents/CIT/2025/cit120.instructions.2025.pdf
LA	Form CIFT-620 Corporation Income and Franchise Tax instructions (2024/2025)	https://dam.ldr.la.gov/taxforms/Cift620i(2024)D6.pdf
ME	Form 1120ME instructions	https://www.maine.gov/revenue/sites/maine.gov.revenue/files/inline-files/24_1120me_all_instructions.pdf
ME	Rule 104 — administrative rule (Feb 2025)	https://www.maine.gov/revenue/sites/maine.gov.revenue/files/inline-files/Rule_104_February_2025.pdf
ND	Form 40 Corporation Income Tax Return (2025)	https://www.tax.nd.gov/sites/www/files/documents/forms/business/corporate-income/2025-corp/28714-form-40-2025.pdf
ND	Corporate Income Tax Instructions booklet (2025)	https://www.tax.nd.gov/sites/www/files/documents/forms/business/corporate-income/2025-corp/28714-corp-income-tax-booklet-2025.pdf
VT	Form CO-411 instructions (2024)	https://tax.vermont.gov/sites/tax/files/documents/CO-411-Instr-2024.pdf
DC	Form D-20 Corporation Franchise Tax Forms and Instructions (2025)	https://otr.cfo.dc.gov/sites/default/files/dc/sites/otr/publication/attachments/2025_D-20_Book_Final_wLinks_02272026.pdf
DC	Combined Reporting Booklet (2025)	https://otr.cfo.dc.gov/sites/default/files/dc/sites/otr/publication/attachments/2025_Combined_Reporting_Booklet_031126ne.pdf
NH	Form NH-1120 Business Profits Tax Return (2025)	https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/nh-1120-tax-return-form-2025.pdf
NH	Rev 300 Business Profits Tax administrative rules (adopted 4/2025)	https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/rev-300-adopted-text-effective-04032025.pdf
NH	BT-Summary instructions (2025)	https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/bt-summary-instructions-2025.pdf
WA	Combined Excise Tax Return incl. B&O (Dec 2025)	https://dor.wa.gov/sites/default/files/2025-12/CETR_25_12.pdf
WA	Instructions for the Combined Excise Tax Return (2025)	https://dor.wa.gov/sites/default/files/2025-12/A_25CETRReturnInstructions.pdf
MT	Form CIT Corporate Income Tax Instructions (2025)	https://revenuefiles.mt.gov/files/Forms/Montana-Form-CIT-Instructions/2025_Montana_Form_CIT_Instructions.pdf
NV	Commerce Tax Return (Nevada has no corporate income tax)	https://tax.nv.gov/wp-content/uploads/2025/07/EXC-F025-COM-Tax-Return.pdf
NV	Commerce Tax Return instructions	https://tax.nv.gov/wp-content/uploads/2024/05/Commerce-Tax-Return-Instructions-6-2023.pdf
