rule	label	entry	dsl	note
dexpr	dateEndOfYearInZone	condition	end of years of (date) "2020-01-01" in zone "UTC" is equal to (date) "2020-01-01"	#1244: no row while the coverage guard was dead
dexpr	dateEndOfYear	condition	end of years of (date) "2020-01-01" is equal to (date) "2020-01-01"	#1244: no row while the coverage guard was dead
dexpr	dateNewYMDhmsInZoneWithDST	condition	new date 2020, 1, 2, 3, 4, 5 in zone "America/New_York" with dst_rule "earlier" is equal to (date) "2020-01-01"	#1244: no row while the coverage guard was dead
dexpr	dateNewYMDhmsInZone	condition	new date 2020, 1, 2, 3, 4, 5 in zone "UTC" is equal to (date) "2020-01-01"	#1244: no row while the coverage guard was dead
dexpr	dateNewYMDInZoneWithDST	condition	new date 2020, 1, 2 in zone "America/New_York" with dst_rule "earlier" is equal to (date) "2020-01-01"	#1244: no row while the coverage guard was dead
dexpr	dateNewYMDInZone	condition	new date 2020, 1, 2 in zone "UTC" is equal to (date) "2020-01-01"	#1244: no row while the coverage guard was dead
dexpr	dateInZone	condition	(date) "2020-01-01" in zone "UTC" is equal to (date) "2020-01-01"	#1244: no row while the coverage guard was dead
strexpr	strLowercaseOf	condition	lowercase of "A" == "a"	#1244: no row while the coverage guard was dead
strexpr	strUppercaseOf	condition	uppercase of "a" == "A"	#1244: no row while the coverage guard was dead
strexpr	strFormatDateInZone	condition	format((date) "2020-01-01", "2006-01-02") in zone "UTC" == "2020-01-01"	#1244: no row while the coverage guard was dead
strexpr	strFormatDate	condition	format((date) "2020-01-01", "2006-01-02") == "2020-01-01"	#1244: no row while the coverage guard was dead
fexpr	divideRoundingBy	action	set x = divide 1fp by 3fp rounding by 0.5fp	#1244: no row while the coverage guard was dead
fexpr	floatCeilingOf	condition	ceiling of 1.5 > 0.0	#1244: no row while the coverage guard was dead
fexpr	floatCeilingOfInt	condition	ceiling of 1 > 0.0	#1244: no row while the coverage guard was dead
fexpr	floatFloorOf	condition	floor of 1.5 > 0.0	#1244: no row while the coverage guard was dead
fexpr	floatFloorOfInt	condition	floor of 1 > 0.0	#1244: no row while the coverage guard was dead
fexpr	floatSumOfWhere	condition	sum of d in accounts where true > 0.0	#1244: no row while the coverage guard was dead
fexpr	floatMaxOfArray	condition	max of d in accounts > 0.0	#1244: no row while the coverage guard was dead
fexpr	floatMaxOfArrayWhere	condition	max of d in accounts where true > 0.0	#1244: no row while the coverage guard was dead
fexpr	floatMinOfArray	condition	min of d in accounts > 0.0	#1244: no row while the coverage guard was dead
fexpr	floatMinOfArrayWhere	condition	min of d in accounts where true > 0.0	#1244: no row while the coverage guard was dead
fexpr	numMinOf	condition	minimum of 1.0 and 2.0 > 0.0	#1244: no row while the coverage guard was dead
fexpr	numMinOfComma	condition	minimum of 1.0 , 2.0 > 0.0	#1244: no row while the coverage guard was dead
fexpr	numMaxOf	condition	maximum of 1.0 and 2.0 > 0.0	#1244: no row while the coverage guard was dead
fexpr	numMaxOfComma	condition	maximum of 1.0 , 2.0 > 0.0	#1244: no row while the coverage guard was dead
iexpr	intMulDiv	condition	get yearof (date) "2020-01-01" * 2 > 0	#1244: no row while the coverage guard was dead
iexpr	intAddSub	context	local fixed x = 1fp + 2fp	#1244: no row while the coverage guard was dead
iexpr	fixedLiteral	context	local fixed x = 1fp	#1244: no row while the coverage guard was dead
iexpr	intDaysInYearInZone	condition	get days in yearof (date) "2020-01-01" in zone "UTC" > 0	#1244: no row while the coverage guard was dead
iexpr	intDaysInMonthInZone	condition	get days in months for (date) "2020-01-01" in zone "UTC" > 0	#1244: no row while the coverage guard was dead
iexpr	intDayOfMonthInZone	condition	get days of months for (date) "2020-01-01" in zone "UTC" > 0	#1244: no row while the coverage guard was dead
iexpr	fixedFromStr	condition	(fixed) "1.5" > 0fp	#1244: no row while the coverage guard was dead
iexpr	fixedFromNumber	condition	(fixed) 1 > 0fp	#1244: no row while the coverage guard was dead
iexpr	fixedFromFloat	condition	(fixed) 1.5 > 0fp	#1244: no row while the coverage guard was dead
iexpr	fixedFromIndex	condition	(fixed) copy of accounts[1] > 0fp	#1244: no row while the coverage guard was dead
iexpr	intYearOfInZone	condition	get yearof (date) "2020-01-01" in zone "UTC" > 0	#1244: no row while the coverage guard was dead
iexpr	intHourOfInZone	condition	get hourof (date) "2020-01-01" in zone "UTC" > 0	#1244: no row while the coverage guard was dead
iexpr	intHourOf	condition	get hourof (date) "2020-01-01" > 0	#1244: no row while the coverage guard was dead
iexpr	intMinuteOfInZone	condition	get minuteof (date) "2020-01-01" in zone "UTC" > 0	#1244: no row while the coverage guard was dead
iexpr	intMinuteOf	condition	get minuteof (date) "2020-01-01" > 0	#1244: no row while the coverage guard was dead
iexpr	intSecondOfInZone	condition	get secondof (date) "2020-01-01" in zone "UTC" > 0	#1244: no row while the coverage guard was dead
iexpr	intSecondOf	condition	get secondof (date) "2020-01-01" > 0	#1244: no row while the coverage guard was dead
iexpr	intDayOfWeekInZone	condition	get dayofweek of (date) "2020-01-01" in zone "UTC" > 0	#1244: no row while the coverage guard was dead
iexpr	intDayOfWeek	condition	get dayofweek of (date) "2020-01-01" > 0	#1244: no row while the coverage guard was dead
iexpr	intWeekOfYearInZone	condition	get weekofyear of (date) "2020-01-01" in zone "UTC" > 0	#1244: no row while the coverage guard was dead
iexpr	intWeekOfYear	condition	get weekofyear of (date) "2020-01-01" > 0	#1244: no row while the coverage guard was dead
iexpr	intSumOfWhere	condition	sum of 1 in accounts where true > 0	#1244: no row while the coverage guard was dead
iexpr	intMaxOfArray	condition	max of 1 in accounts > 0	#1244: no row while the coverage guard was dead
iexpr	intMaxOfArrayWhere	condition	max of 1 in accounts where true > 0	#1244: no row while the coverage guard was dead
iexpr	intMinOfArray	condition	min of 1 in accounts > 0	#1244: no row while the coverage guard was dead
iexpr	intMinOfArrayWhere	condition	min of 1 in accounts where true > 0	#1244: no row while the coverage guard was dead
bexpr	boolNumEq	condition	1 == 1	#1244: no row while the coverage guard was dead
bexpr	boolNumNeq	condition	1 != 1	#1244: no row while the coverage guard was dead
bexpr	boolNumGt	condition	1 > 1	#1244: no row while the coverage guard was dead
bexpr	boolNumGte	condition	1 >= 1	#1244: no row while the coverage guard was dead
bexpr	boolNumLt	condition	1 < 1	#1244: no row while the coverage guard was dead
bexpr	boolNumLte	condition	1 <= 1	#1244: no row while the coverage guard was dead
bexpr	boolFirstPass	condition	first pass	#1244: no row while the coverage guard was dead
bexpr	boolSameCalendarDay	condition	(date) "2020-01-01" is same calendar days as (date) "2020-01-01" in zone "UTC"	#1244: no row while the coverage guard was dead
bexpr	boolSameCalendarWeekStarting	condition	(date) "2020-01-01" is same calendar weeks as (date) "2020-01-01" starting "sunday" in zone "UTC"	#1244: no row while the coverage guard was dead
bexpr	boolSameCalendarWeek	condition	(date) "2020-01-01" is same calendar weeks as (date) "2020-01-01" in zone "UTC"	#1244: no row while the coverage guard was dead
bexpr	boolSameCalendarMonth	condition	(date) "2020-01-01" is same calendar months as (date) "2020-01-01" in zone "UTC"	#1244: no row while the coverage guard was dead
bexpr	boolSameCalendarQuarter	condition	(date) "2020-01-01" is same calendar quarters as (date) "2020-01-01" in zone "UTC"	#1244: no row while the coverage guard was dead
bexpr	boolSameCalendarYear	condition	(date) "2020-01-01" is same calendar years as (date) "2020-01-01" in zone "UTC"	#1244: no row while the coverage guard was dead
addtodest	addDestArray	action	add "x" to accounts	#1247
addtodest	addDestColon	action	add 1 to :account: accounts	#1247
addtodest	addDestDouble	action	add 1.0 to d	#1247: unreachable, parses as addDestArray (#1250)
addtodest	addDestLong	action	add 1 to n	#1247: unreachable, parses as addDestArray (#1250)
addtodest	addDestPossessiveDouble	action	add 1.0 to account's d	#1247: unreachable, parses as addDestColon (#1250)
addtodest	addDestPossessiveLong	action	add 1 to account's n	#1247: unreachable, parses as addDestColon (#1250)
addtodest2	addDestArray2	action	add 1 to :account: accounts	#1247
addtodest2	addDestDouble2	action	add 1.0 to :account: d	#1247: unreachable, parses as addDestArray2 (#1250)
addtodest2	addDestLong2	action	add 1 to :account: n	#1247: unreachable, parses as addDestArray2 (#1250)
addtostatement	addDateToDest	action	add current date to accounts	#1247
addtostatement	addEntityToDest	action	add first of accounts to accounts	#1247
arrayExpr2	arrayLiteral	condition	[ "a" ] includes string "a"	#1247
arrayExpr2	arrayName	condition	(array) $x includes account	#1247: emits a not-yet-implemented elstmterror
arrayList	arrayListArraySingle	condition	[ copy of accounts ] includes string "x"	#1247
arrayList	arrayListBoolSingle	condition	[ true ] includes string "x"	#1247
arrayList	arrayListEntitySingle	condition	[ first of accounts ] includes string "x"	#1247: a bare identifier is taken by arrayListBoolSingle
arrayList	arrayListFloatSingle	condition	[ 1.0 ] includes value 1	#1247
arrayList	arrayListIntSingle	condition	[ 1 ] includes value 1	#1247
arrayList	arrayListNameSingle	condition	[ $x ] includes string "x"	#1247
arrayList	arrayListStrSingle	condition	[ "x" ] includes string "x"	#1247
bexpr	boolArrayIsNotNull	condition	copy of accounts is not null	#1247: a bare identifier is taken by boolBexprIsNotNull
bexpr	boolArrayIsNull	condition	copy of accounts is null	#1247: a bare identifier is taken by boolBexprIsNull
bexpr	boolBigEq	condition	(bigint) "1" == (bigint) "1"	#1247
bexpr	boolBigGt	condition	(bigint) "1" > (bigint) "0"	#1247
bexpr	boolBigGte	condition	(bigint) "1" >= (bigint) "0"	#1247
bexpr	boolBigLt	condition	(bigint) "1" < (bigint) "2"	#1247
bexpr	boolBigLte	condition	(bigint) "1" <= (bigint) "2"	#1247
bexpr	boolBigNeq	condition	(bigint) "1" != (bigint) "2"	#1247
bexpr	boolDateEq	condition	current date == current date	#1247: 2020-01-01 lexes as integer subtraction
bexpr	boolDateGt	condition	current date > current date	#1247
bexpr	boolDateGte	condition	current date >= current date	#1247
bexpr	boolDateIsNotNull	condition	current date is not null	#1247
bexpr	boolDateIsNull	condition	current date is null	#1247
bexpr	boolDateLt	condition	current date < current date	#1247
bexpr	boolDateLte	condition	current date <= current date	#1247
bexpr	boolEntityEq	condition	first of accounts == account	#1247: identifier == identifier is taken by boolNameEq
bexpr	boolEntityIsNotNull	condition	first of accounts is not null	#1247
bexpr	boolEntityIsNull	condition	first of accounts is null	#1247: a bare identifier is taken by boolBexprIsNull
bexpr	boolEntityNeq	condition	first of accounts != account	#1247
bexpr	boolFromIndex	condition	(boolean) arr[1]	#1247: emits bytesidx on an array: #1256
bexpr	boolFunction	condition	bf	#1247: unreachable, parses as boolTyped (#1250)
bexpr	boolStrEqIcList	condition	"x" is equal to ignore case "a", or "b"	#1247
bexpr	boolStrEqList	condition	"x" == "a", or "b"	#1247: a blist needs a comma or `or`
bigexpr	bigAbs	condition	absolute value of (bigint) "1" > (bigint) "0"	#1247: integer literals go through numexpr
bigexpr	bigAdd	condition	(bigint) "1" + (bigint) "1" > (bigint) "0"	#1247
bigexpr	bigDiv	condition	(bigint) "1" / (bigint) "1" > (bigint) "0"	#1247
bigexpr	bigMul	condition	(bigint) "1" * (bigint) "1" > (bigint) "0"	#1247
bigexpr	bigNegate	condition	- (bigint) "1" > (bigint) "0"	#1247
bigexpr	bigParen	condition	( (bigint) "1" ) > (bigint) "0"	#1247
bigexpr	bigSub	condition	(bigint) "1" - (bigint) "1" > (bigint) "0"	#1247
bigexpr	bigTyped	condition	bi > (bigint) "0"	#1247
bigexpr	bigUsing	condition	using account ( (bigint) "1" ) > (bigint) "0"	#1247
blist	blistMulti	condition	"x" == "a", or "b"	#1247
blist	blistOr	condition	"x" == or "a"	#1247
blistIc	blistIcMulti	condition	"x" is equal to ignore case "a", or "b"	#1247
blistIc	blistIcOr	condition	"x" is equal to ignore case or "a"	#1247
debugstatement	debugArray	context	debug copy of accounts	#1247: a bare identifier is taken by debugStr
debugstatement	debugDate	context	debug current date	#1247
debugstatement	debugEntity	context	debug first of accounts	#1247
debugstatement	printArray	context	print copy of accounts	#1247
debugstatement	printDate	context	print current date	#1247
debugstatement	printEntity	context	print first of accounts	#1247
dexpr	dateAdd	condition	current date + current date is equal to current date	#1247
dexpr	dateParen	condition	( current date ) is equal to current date	#1247
dexpr	dateSub	condition	current date - current date is equal to current date	#1247
dexpr	dateTyped	condition	dt is equal to current date	#1247
dexpr	dateUsing	condition	using account ( current date ) is equal to current date	#1247
fexpr	floatFromIndex	condition	(double) copy of accounts[1] > 0.0	#1247: (double) arr[1] is taken by floatFromInt; emits bytesidx: #1256
fexpr	floatNegate	condition	absolute value of - 1.0 > 0.0	#1247: - 1.0 in a comparison is numNegate
iexpr	intAddTo	context	local fixed f = add to n 5	#1247: emits nothing for the expression: #1253
iexpr	intDivBy	context	local fixed f = divide n by 5	#1247
iexpr	intFromIndex	context	local fixed f = (int) arr[1]	#1247: emits bytesidx on an array: #1256
iexpr	intLiteral	context	local fixed f = 5	#1247: a comparison takes numexpr, not iexpr; local fixed takes iexpr
iexpr	intMaxOf	context	local fixed f = maximum of 1 and 2	#1247
iexpr	intMaxOfComma	context	local fixed f = maximum of 1, 2	#1247
iexpr	intMinOf	context	local fixed f = minimum of 1 and 2	#1247
iexpr	intMinOfComma	context	local fixed f = minimum of 1, 2	#1247
iexpr	intMulBy	context	local fixed f = multiply n by 5	#1247
iexpr	intNegate	context	local fixed f = - 1	#1247
iexpr	intParen	context	local fixed f = ( 1 )	#1247
iexpr	intSubFrom	context	local fixed f = subtract from n 5	#1247: emits nothing for the expression: #1253
iexpr	intTyped	context	local fixed f = n	#1247
iexpr	intUsing	context	local fixed f = using new account entity ( 1 )	#1247: using <identifier> (...) is taken by intUsingArray
ifstatement	ifThen	context	for n = 1; n < 3; if true then { set n = 1; } endif;	#1247: in an action, block's IF alternative takes it; forctl's body is a bare statement
ifstatement	ifThenElse	context	for n = 1; n < 3; if true then { set n = 1; } else { set n = 2; } endif;	#1247
includeSearch	includeDate	condition	accounts includes date current date	#1247
includeSearch	includeEntity	condition	accounts includes account	#1247
includeSearch	includeNumber	condition	accounts includes value 5	#1247
includeSearch	includeString	condition	accounts includes string "x"	#1247
leftArrayRef	leftArraySimple	action	set arr = copy of accounts	#1247
leftBexpr	leftBexprSimple	action	set b = true	#1247
leftBigexpr	leftBigexprSimple	action	set bi = (bigint) "1"	#1247
leftDexpr	leftDexprSimple	action	set dt = current date	#1247: unreachable, parses as leftStrexprSimple (setDate is dead) (#1250)
leftEexpr	leftEexprSimple	action	set e = first of accounts	#1247
leftFexpr	leftFexprSimple	action	set d = 1.0	#1247: unreachable, parses as leftIexprSimple (setFloat is dead) (#1250)
leftIexpr	leftIexprSimple	action	set n = 1	#1247
leftStrexpr	leftStrexprSimple	action	set s = "x"	#1247
leftTexpr	leftTexprSimple	action	set t = tbl	#1247: unreachable, parses as leftIexprSimple (setTable is dead) (#1250)
operatorlist	opListEntity	action	op(new account entity, 1)	#1247: a bare identifier is taken by opListStr
operatorlist	opListEntitySingle	action	op(new account entity)	#1247
operatorlist	opListFloat	action	op(1.0, 1)	#1247
operatorlist	opListFloatSingle	action	op(1.0)	#1247
operatorlist	opListInt	action	op(1, 1)	#1247
operatorlist	opListIntSingle	action	op(1)	#1247
operatorlist	opListStr	action	op("x", 1)	#1247
operatorlist	opListStrSingle	action	op("x")	#1247
performstatement	performName	action	perform $x	#1247: emits nothing: #1254
randomstatements	removeEntity	action	remove first of accounts from accounts array	#1247: a bare identifier is taken by removeName
setstatement	decrementDouble	action	decrement d	#1247: unreachable, parses as decrementLong (#1250)
setstatement	incrementDouble	action	increment d	#1247: unreachable, parses as incrementLong (#1250)
setstatement	setArrayArray	action	set arr = copy of accounts	#1247
setstatement	setArrayDate	action	set arr = current date	#1247: unreachable, parses as setStringFromDate (#1250)
setstatement	setArrayEntity	action	set arr = first of accounts	#1247: unreachable, parses as setEntity (#1250)
setstatement	setArrayFloat	action	set arr = 1.0	#1247: unreachable, parses as setInt (#1250)
setstatement	setArrayInt	action	set arr = 1	#1247: unreachable, parses as setInt (#1250)
setstatement	setArrayString	action	set arr = "x"	#1247: unreachable, parses as setString (#1250)
setstatement	setBigInt	action	set bi = (bigint) "1"	#1247
setstatement	setBoolFromName	action	set b = $x	#1247: unreachable, parses as setStringFromName (#1250)
setstatement	setDate	action	set dt = current date	#1247: unreachable, parses as setStringFromDate (#1250)
setstatement	setEntity	action	set e = first of accounts	#1247: a bare identifier on the right is taken by setInt
setstatement	setFloat	action	set d = 5	#1247: unreachable, parses as setInt (#1250)
setstatement	setStringFromDate	action	set s = current date	#1247
setstatement	setStringFromNumber	action	set s = 5	#1247: unreachable, parses as setInt (#1250)
setstatement	setStringFromTable	action	set s = new "x" table of "y"	#1247: emits nothing: #1255
setstatement	setTable	action	set t = tbl	#1247: unreachable, parses as setInt (#1250)
strexpr	strConcatArray	condition	"x" + copy of accounts is equal to "x"	#1247: the concatenation emits nothing: #1251
strexpr	strConcatDate	condition	"x" + current date is equal to "x"	#1247: the concatenation emits nothing: #1251
strexpr	strConcatEntity	condition	"x" + first of accounts is equal to "x"	#1247: the concatenation emits nothing: #1251
strexpr	strConcatInvalid	condition	"x" + bad is equal to "x"	#1247: unreachable, parses as strConcat (#1250)
strexpr	strConcatNull	condition	"x" + nothing is equal to "x"	#1247: unreachable, parses as strConcat (#1250)
strexpr	strTyped	condition	"x" is equal to s	#1247: unreachable, parses as strXmlValue (#1250)
strexpr	strXmlValue	condition	"x" is equal to s	#1247: identifier == string is taken by boolNameEqStr
subtodest	subDestColon	action	subtract 1 from :account: n	#1247
subtodest	subDestDouble	action	subtract 1.0 from d	#1247: unreachable, parses as subDestLong (#1250)
subtodest	subDestLong	action	subtract 1 from n	#1247
subtodest	subDestPossessiveDouble	action	subtract 1.0 from account's d	#1247: unreachable, parses as subDestColon (#1250)
subtodest	subDestPossessiveLong	action	subtract 1 from account's n	#1247: unreachable, parses as subDestColon (#1250)
tablelist	tableListMulti	condition	(string) tbl("k", "j") == "x"	#1247: hash tables removed: emits an elstmterror
tablelist	tableListSingle	condition	(string) tbl("k") == "x"	#1247: hash tables removed: emits an elstmterror
texpr	tableNew	condition	(string) new "x" table of "y" ("k") == "x"	#1247: hash tables removed: emits an elstmterror
texpr	tableTyped	condition	(string) tbl("k") == "x"	#1247: hash tables removed: emits an elstmterror
xmlvaluestatements	xmlAddAttrEntity	action	first of accounts : add attribute "x" = "y"	#1247: a bare identifier is taken by xmlAddAttr
xmlvaluestatements	xmlSetAttrEntity	action	first of accounts : set attribute "x" = "y"	#1247
block	blockCurly	action	{ set x = 1; }
block	blockUsing	action	using account { set x = 1; }
block	blockGforall	action	{ set x = 1; } for all accounts	gforall: body block, then forall
block	blockForall	action	for all accounts { set x = 1; }
block	blockForeach	action	for each acc in accounts { set x = 1; }
block	blockFirst	action	for first of accounts where true then { set x = 1; } endff
block	blockIf	action	if true then { set x = 1; } endif
foreachblock	foreachSimple	action	for each acc in accounts { set x = 1; }
foreachblock	foreachWhere	action	for each acc in accounts where true { set x = 1; }
foreachblock	foreachIts	action	for each acc and its other in accounts { set x = 1; }
foreachblock	foreachItsWhere	action	for each acc and its other in accounts where true { set x = 1; }
firstblock	firstBlockSimple	action	for first of accounts where true then { set x = 1; } endff
firstblock	firstBlockElse	action	for first of accounts where true then { set x = 1; } else if none are found { set x = 1; } endff
firstblock	firstBlockItsElse	action	for first of accounts and its other where true then { set x = 1; } else if none are found { set x = 1; } endff
forfirstctl	forfirstOf	context	for first of accounts where true
forfirstctl	forfirstOfIts	context	for first of accounts and its other where true
forfirstctl	forfirstIn	context	for first in accounts where true
contextForTable	contextDebug	context	debug "hi"
contextForTable	contextForallCtl	context	for all accounts
contextForTable	contextForfirst	context	for first of accounts where true
contextForTable	contextLocal	context	local string s
contextForTable	contextCtx	context	add account to context of this table
usingblock	usingBlockEntity	action	using account { set x = 1; }
usingblock	usingBlockEntityComma	action	using account, account { set x = 1; }
usingblock	usingBlockBase	action	using account { set x = 1; }
setstatement	setStringFromName	action	set s = /tbl
done	policyStrExpr	raw	policystatement "x";
done	policyIExpr	raw	policystatement 1;
done	policyFExpr	raw	policystatement 1.0;
done	policyBExpr	raw	policystatement true;
done	policyDExpr	raw	policystatement current date;	#1247
done	conditionDebugBefore	raw	condition debug "hi"; true;
done	conditionDebugAfter	raw	condition true; debug "hi";
done	contextDebugBefore	raw	context debug "hi"; for all accounts;
possessiveRef	possessiveChain	condition	account's flag	#1247
possessiveRef	colonChain	condition	:account: flag	#1247
contextstatement	addToContextOf	context	add account to context of this table
contextstatement	addToContextFor	context	add account to context for this table
ifcontinue	ifEnd	action	if true then set x = 1; endif
ifcontinue	ifElse	action	if true then set x = 1; else set y = 1; endif
ifcontinue	ifElseIf	action	if true then set x = 1; else if false then set y = 1; endif
localvariables	localEntityUndef	context	local entity x
localvariables	localEntityInit	context	local entity x = account
localvariables	localEntityDefined	context	local entity x	#1247: unreachable, parses as localEntityUndef (#1249)
localvariables	localLongUndef	context	local int x
localvariables	localLongInit	context	local int x = 5
localvariables	localLongDefined	context	local int x	#1247: unreachable, parses as localLongUndef (#1249)
localvariables	localDoubleUndef	context	local double x
localvariables	localDoubleInit	context	local double x = 5.0
localvariables	localDoubleDefined	context	local double x	#1247: unreachable, parses as localDoubleUndef (#1249)
localvariables	localBoolUndef	context	local boolean x
localvariables	localBoolInit	context	local boolean x = true
localvariables	localBoolDefined	context	local boolean x	#1247: unreachable, parses as localBoolUndef (#1249)
localvariables	localDateUndef	context	local date x
localvariables	localDateInit	context	local date x = today
localvariables	localDateDefined	context	local date x	#1247: unreachable, parses as localDateUndef (#1249)
localvariables	localArrayUndef	context	local array x
localvariables	localArrayInit	context	local array x = accounts
localvariables	localArrayDefined	context	local array x	#1247: unreachable, parses as localArrayUndef (#1249)
localvariables	localStringUndef	context	local string x
localvariables	localStringInit	context	local string x = "x"
localvariables	localStringDefined	context	local string x	#1247: unreachable, parses as localStringUndef (#1249)
localvariables	localBigIntUndef	context	local bigint x
localvariables	localBigIntInit	context	local bigint x = (bigint) 1
localvariables	localBigIntDefined	context	local bigint x	#1247: unreachable, parses as localBigIntUndef (#1249)
localvariables	localBytesUndef	context	local bytes x
localvariables	localBytesInit	context	local bytes x = 0xab
localvariables	localBytesDefined	context	local bytes x	#1247: unreachable, parses as localBytesUndef (#1249)
setstatement	setStringFromName	action	set s = $tbl
bexpr	boolArrayIncludes	condition	accounts includes account
bexpr	boolArrayDoesInclude	condition	accounts does include account
bexpr	boolArrayNotInclude	condition	accounts does not include account
bexpr	boolDateBefore	condition	(date) "2020-01-01" is before (date) "2020-01-02"
bexpr	boolDateAfter	condition	(date) "2020-01-02" is after (date) "2020-01-01"
bexpr	boolDateBetween	condition	(date) "2020-01-01" is between (date) "2020-01-01" and (date) "2020-01-02"
bexpr	boolNameEq	condition	$a == $b
bexpr	boolNameEqStr	condition	$a == "x"
bexpr	boolNameNeq	condition	$a != $b
bexpr	boolNameNeqStr	condition	$a != "x"
dexpr	dateCurrentDate	condition	current date is equal to (date) "2020-01-01"
dexpr	dateFromStrCast	condition	(date) "2020-01-01" is equal to (date) "2020-01-01"
dexpr	dateFromStrFunc	condition	date("2020-01-01") is equal to (date) "2020-01-01"
dexpr	dateFromIndex	condition	(date) arr[1] is equal to current date	#1247: emits bytesidx on an array: #1256
dexpr	dateFromArrayAt	condition	(date) arr[1] is equal to current date	#1247: unreachable, parses as dateFromIndex (#1250)
dexpr	dateExprAddDays	condition	add 5 days to (date) "2020-01-01" is equal to (date) "2020-01-01"
dexpr	dateExprAddMonths	condition	add 5 months to (date) "2020-01-01" is equal to (date) "2020-01-01"
